date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2004-02-09,10592.0,10618.509766,10564.44043,10579.030273,10579.030273,160720000,160720000,-12.96973,-0.12245,10587.33,"February 09, 04",-0.0012245
2004-02-10,10578.740234,10626.660156,10559.259766,10613.849609,10613.849609,160590000,160590000,35.10938,0.33189,10599.92,"February 10, 04",0.0033189
2004-02-11,10605.480469,10746.879883,10572.589844,10737.700195,10737.700195,277850000,277850000,132.21973,1.25,10685.72,"February 11, 04",0.0125
2004-02-12,10735.179688,10735.290039,10688.360352,10694.070313,10694.070313,197560000,197560000,-41.10937,-0.38294,10705.91,"February 12, 04",-0.0038294
2004-02-13,10696.219727,10734.69043,10604.139648,10627.849609,10627.849609,244990000,244990000,-68.37012,-0.6392,10655.56,"February 13, 04",-0.006392
2004-02-17,10628.879883,10735.25,10628.740234,10714.879883,10714.879883,169730000,169730000,86.0,0.80912,10692.96,"February 17, 04",0.0080912
2004-02-18,10706.679688,10720.509766,10646.959961,10671.990234,10671.990234,164370000,164370000,-34.68945,-0.324,10679.82,"February 18, 04",-0.00324
2004-02-19,10674.589844,10753.629883,10656.589844,10664.730469,10664.730469,219890000,219890000,-9.85937,-0.09236303,10691.65,"February 19, 04",-0.0009236303
2004-02-20,10666.290039,10688.219727,10580.660156,10619.030273,10619.030273,220560000,220560000,-47.25977,-0.44308,10629.3,"February 20, 04",-0.0044308
2004-02-23,10619.549805,10644.959961,10560.44043,10609.620117,10609.620117,229950000,229950000,-9.92969,-0.09350385,10605.01,"February 23, 04",-0.0009350385
2004-02-24,10609.549805,10637.110352,10521.700195,10566.370117,10566.370117,225670000,225670000,-43.17969,-0.40699,10575.06,"February 24, 04",-0.0040699
2004-02-25,10566.589844,10615.55957,10560.070313,10601.620117,10601.620117,192420000,192420000,35.03027,0.33152,10592.42,"February 25, 04",0.0033152
2004-02-26,10598.139648,10612.139648,10539.330078,10580.139648,10580.139648,223230000,223230000,-18.0,-0.16984,10577.2,"February 26, 04",-0.0016984
2004-02-27,10581.549805,10652.360352,10563.629883,10583.919922,10583.919922,200050000,200050000,2.37012,0.02239858,10599.97,"February 27, 04",0.0002239858
2004-03-01,10582.25,10695.549805,10582.219727,10678.139648,10678.139648,185030000,185030000,95.88965,0.90614,10651.97,"March 01, 04",0.0090614
2004-03-02,10678.360352,10678.360352,10568.879883,10591.480469,10591.480469,215580000,215580000,-86.87988,-0.81361,10612.91,"March 02, 04",-0.0081361
2004-03-03,10588.589844,10610.0,10550.139648,10593.110352,10593.110352,188800000,188800000,4.52051,0.04269226,10584.42,"March 03, 04",0.0004269226
2004-03-04,10593.480469,10603.25,10562.740234,10588.0,10588.0,161050000,161050000,-5.48047,-0.05173436,10584.66,"March 04, 04",-0.0005173436
2004-03-05,10582.589844,10651.330078,10524.589844,10595.549805,10595.549805,266500000,266500000,12.95996,0.12246,10590.49,"March 05, 04",0.0012246
2004-03-08,10595.370117,10634.290039,10526.889648,10529.480469,10529.480469,199300000,199300000,-65.88965,-0.62187,10563.55,"March 08, 04",-0.0062187
2004-03-09,10529.519531,10529.700195,10424.070313,10456.959961,10456.959961,246270000,246270000,-72.55957,-0.68911,10470.24,"March 09, 04",-0.0068911
2004-03-10,10457.589844,10473.860352,10284.669922,10296.889648,10296.889648,259000000,259000000,-160.7002,-1.54,10351.81,"March 10, 04",-0.0154
2004-03-11,10288.849609,10321.410156,10120.379883,10128.379883,10128.379883,292050000,292050000,-160.46973,-1.56,10190.06,"March 11, 04",-0.0156
2004-03-12,10130.669922,10241.19043,10130.669922,10240.080078,10240.080078,223350000,223350000,109.41016,1.08,10203.98,"March 12, 04",0.0108
2004-03-15,10238.450195,10241.110352,10092.469727,10102.889648,10102.889648,219150000,219150000,-135.56055,-1.32,10145.49,"March 15, 04",-0.0132
2004-03-16,10103.410156,10221.110352,10103.410156,10184.669922,10184.669922,194560000,194560000,81.25977,0.80428,10169.73,"March 16, 04",0.0080428
2004-03-17,10184.669922,10326.519531,10184.299805,10300.299805,10300.299805,181210000,181210000,115.62988,1.14,10270.37,"March 17, 04",0.0114
2004-03-18,10298.959961,10328.820313,10214.150391,10295.780273,10295.780273,218820000,218820000,-3.17969,-0.03087387,10279.58,"March 18, 04",-0.0003087387
2004-03-19,10295.849609,10314.589844,10182.599609,10186.599609,10186.599609,261590000,261590000,-109.25,-1.06,10227.93,"March 19, 04",-0.0106
2004-03-22,10185.929688,10186.150391,10012.160156,10064.75,10064.75,248930000,248930000,-121.17969,-1.19,10087.69,"March 22, 04",-0.0119
2004-03-23,10066.669922,10131.349609,10047.410156,10063.639648,10063.639648,215260000,215260000,-3.03027,-0.03010205,10080.8,"March 23, 04",-0.0003010205
2004-03-24,10065.410156,10108.150391,10007.490234,10048.230469,10048.230469,224310000,224310000,-17.17969,-0.17068,10054.62,"March 24, 04",-0.0017068
2004-03-25,10049.55957,10226.080078,10049.490234,10218.820313,10218.820313,216420000,216420000,169.26074,1.68,10164.8,"March 25, 04",0.0168
2004-03-26,10218.370117,10271.780273,10181.040039,10212.969727,10212.969727,198830000,198830000,-5.40039,-0.05284982,10221.93,"March 26, 04",-0.0005284982
